SiteId,Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521 - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
7090,30361533,2023-06-19T00:00:00,00:14:00,0,45,6,4,18,0,0,0,0,0,0,0,0,1,7,18,24,16,7,64,73
7090,30361533,2023-06-19T00:00:00,00:29:00,1,38,3,9,15,0,0,0,0,0,0,0,0,0,7,15,25,17,1,63,65
7090,30361533,2023-06-19T00:00:00,00:44:00,2,19,3,3,23,0,0,0,0,0,0,0,0,0,3,21,13,8,3,62,48
7090,30361533,2023-06-19T00:00:00,00:59:00,3,35,4,3,18,0,0,0,0,0,0,0,0,1,7,15,15,19,3,64,60
7090,30361533,2023-06-19T00:00:00,01:14:00,4,22,3,7,25,0,0,0,0,0,0,0,0,0,7,23,12,9,6,62,57
7090,30361533,2023-06-19T00:00:00,01:29:00,5,22,2,7,19,0,0,0,0,0,0,0,0,0,6,18,17,7,2,62,50
7090,30361533,2023-06-19T00:00:00,01:44:00,6,13,3,7,15,0,0,0,0,0,0,0,0,3,3,14,8,8,2,61,38
7090,30361533,2023-06-19T00:00:00,01:59:00,7,21,2,11,16,0,0,0,0,0,0,0,0,2,4,16,10,13,5,63,50
7090,30361533,2023-06-19T00:00:00,02:14:00,8,21,7,6,17,0,0,0,0,0,0,0,0,2,2,14,18,11,4,64,51
7090,30361533,2023-06-19T00:00:00,02:29:00,9,22,3,11,23,0,0,0,0,0,0,0,0,0,13,19,14,11,2,61,59
7090,30361533,2023-06-19T00:00:00,02:44:00,10,27,3,2,29,0,0,0,0,0,0,0,0,1,9,21,16,12,2,61,61
7090,30361533,2023-06-19T00:00:00,02:59:00,11,23,8,7,19,0,0,0,0,0,0,0,0,0,7,15,19,14,2,63,57
7090,30361533,2023-06-19T00:00:00,03:14:00,12,34,8,11,24,0,0,0,0,0,0,0,0,2,11,20,19,21,4,63,77
7090,30361533,2023-06-19T00:00:00,03:29:00,13,22,6,14,22,0,0,0,0,0,0,0,0,1,9,21,17,13,3,62,64
7090,30361533,2023-06-19T00:00:00,03:44:00,14,30,6,17,22,0,0,0,0,0,0,0,1,0,16,19,22,15,2,61,75
7090,30361533,2023-06-19T00:00:00,03:59:00,15,37,5,13,38,0,0,0,0,0,0,0,0,3,15,25,20,25,5,62,93
7090,30361533,2023-06-19T00:00:00,04:14:00,16,42,10,10,25,0,0,0,0,0,0,0,0,1,8,26,19,27,6,64,87
7090,30361533,2023-06-19T00:00:00,04:29:00,17,63,10,13,25,0,0,0,0,0,0,0,0,0,15,21,23,42,10,65,111
7090,30361533,2023-06-19T00:00:00,04:44:00,18,70,15,17,33,0,0,0,0,0,0,0,0,0,10,31,35,43,16,66,135
7090,30361533,2023-06-19T00:00:00,04:59:00,19,88,15,25,46,0,0,0,0,0,0,0,1,1,16,35,43,55,23,66,174
7090,30361533,2023-06-19T00:00:00,05:14:00,20,105,17,31,54,0,0,0,0,0,0,0,1,0,23,50,38,64,31,66,207
7090,30361533,2023-06-19T00:00:00,05:29:00,21,110,27,21,54,0,0,0,0,0,0,0,0,1,21,44,48,70,28,66,212
7090,30361533,2023-06-19T00:00:00,05:44:00,22,131,25,33,59,0,0,0,0,0,0,0,0,2,28,50,55,83,30,66,248
7090,30361533,2023-06-19T00:00:00,05:59:00,23,190,25,36,51,0,0,0,0,0,0,0,1,1,26,51,57,115,51,68,302
7090,30361533,2023-06-19T00:00:00,06:14:00,24,231,48,42,80,0,1,0,0,0,0,0,0,0,30,83,104,132,51,66,401
7090,30361533,2023-06-19T00:00:00,06:29:00,25,283,51,41,78,0,0,0,0,0,0,0,0,1,26,88,91,190,57,68,453
7090,30361533,2023-06-19T00:00:00,06:44:00,26,351,72,59,74,0,0,0,0,0,0,0,1,3,38,80,145,209,80,68,556
7090,30361533,2023-06-19T00:00:00,06:59:00,27,416,56,53,81,0,0,0,0,0,0,0,0,2,45,106,142,239,72,67,606
7090,30361533,2023-06-19T00:00:00,07:14:00,28,462,75,66,70,0,0,0,0,0,0,1,0,2,32,102,181,291,64,68,673
7090,30361533,2023-06-19T00:00:00,07:29:00,29,493,82,63,67,0,0,0,0,0,0,0,1,6,35,106,195,291,71,67,705
7090,30361533,2023-06-19T00:00:00,07:44:00,30,509,84,49,65,0,0,0,0,0,0,0,0,1,40,93,241,282,50,67,707
7090,30361533,2023-06-19T00:00:00,07:59:00,31,516,76,57,64,0,0,0,0,0,0,0,0,1,34,100,233,269,76,68,713
7090,30361533,2023-06-19T00:00:00,08:14:00,32,511,103,62,76,0,0,0,0,0,0,0,0,2,62,107,243,275,63,66,752
7090,30361533,2023-06-19T00:00:00,08:29:00,33,554,78,69,62,0,0,0,0,0,0,0,0,1,70,100,293,247,52,66,763
7090,30361533,2023-06-19T00:00:00,08:44:00,34,552,69,48,61,0,0,0,0,0,0,0,0,4,41,92,197,312,84,68,730
7090,30361533,2023-06-19T00:00:00,08:59:00,35,422,60,65,54,0,0,0,0,0,0,0,0,4,67,89,179,212,50,66,601
