Id,Name,Description,Longitude,Latitude,Status
38,MIDAS site at M6/7412B priority 1 on link 117008202; GPS Ref: 355366;422271; Southbound,M6/7412B,-2.67744593093838,53.6949784923759,Active
39,MIDAS site at M25/4116A priority 1 on link 104026701; GPS Ref: 553973;169855; Clockwise,M25/4116A,0.212408128616889,51.4068231439933,Active
40,MIDAS site at M25/5165M priority 1 on link 199004303; GPS Ref: 506995;198997; Anti-clockwise,M25/5165M,-0.453859069937714,51.6795610507823,Active
41,MIDAS site at M6/5962B priority 1 on link 112001801; GPS Ref: 399484;296775; Southbound,M6/5962B,-2.00903974156997,52.5688155752209,Active
42,MIDAS site at M1/2717J priority 1 on link 200113967; GPS Ref: 496935;236982; Northbound,M1/2717J,-0.588671777393511,52.0228078207321,Active
43,MIDAS site at M1/5157B priority 1 on link 200109149; GPS Ref: 441230;434599; Southbound,M1/5157B,-1.37541680718986,53.8060755334036,Active
44,MIDAS site at M1/2607J priority 1 on link 123018901; GPS Ref: 503099;228536; Northbound,M1/2607J,-0.501403815441771,51.9457870173472,Active
45,MIDAS Site at M20/6568B1 priority 1 on link 104030102; GPS Ref: 575546;158544; Westbound,M20/6568B1,0.516700017015146,51.2989540853619,Active
46,MIDAS site at M25/4465A priority 3 on link 200116863; GPS Ref: 530403;153341; Clockwise,M25/4465A,-0.132304637948176,51.2643166814966,Active
47,MIDAS site at M621/1133A priority 1 on link 116021901; GPS Ref: 432159;429104; Eastbound,M621/1133A,-1.51372269250672,53.7573258693331,Active
48,MIDAS site at M42/6168A priority 1 on link 125027701; GPS Ref: 401176;273071; Northbound,M42/6168A,-1.98414915489083,52.3557157781717,Active
49,MIDAS site at M1/4085B priority 1 on link 107033101; GPS Ref: 450426;348844; Southbound,M1/4085B,-1.24947586930138,53.0345252401088,Active
50,MIDAS site at M5/9061A priority 1 on link 102033901; GPS Ref: 325860;125311; Southbound,M5/9061A,-3.05845535173993,51.0223653198881,Inactive
51,MIDAS site at M4/2718B priority 1 on link 123030901; GPS Ref: 466136;170752; Eastbound,M4/2718B,-1.05001089549856,51.4319210145245,Inactive
52,MIDAS site at M6/6199A priority 1 on link 111036901; GPS Ref: 392699;318595; Northbound,M6/6199A,-2.10963652517659,52.7649197939255,Inactive
53,MIDAS site at M1/3911A priority 3 on link 199017201; GPS Ref: 447157;333096; Northbound,M1/3911A,-1.30050439825804,52.8932716695729,Inactive
54,MIDAS site at M2/8818M priority 1 on link 104049502; GPS Ref: 601600;159621; Westbound,M2/8818M,0.890554784159312,51.300008224268,Active
55,MIDAS site at M6/6827A priority 4 on link 123008901; GPS Ref: 373269;372810; Northbound,M6/6827A,-2.40209347687792,53.2516390727385,Inactive
56,MIDAS site at A2/8402A priority 1 on link 200045690; GPS Ref: 566623;170153; Eastbound,A2/8402A,0.394262600443268,51.4059280094946,Active
57,MIDAS site at M25/4322B priority 1 on link 125019301; GPS Ref: 544057;154700; Anti-clockwise,M25/4322B,0.063815575561992,51.2732442603408,Inactive
58,MIDAS site at M5/7242B priority 1 on link 199096302; GPS Ref: 396200;274670; Northbound,M5/7242B,-2.0572298399486,52.3700765563849,Active
59,MIDAS site at A1M/9922B priority 1 on link 118013201; GPS Ref: 438308;470312; Southbound,A1M/9922B,-1.41531351729951,54.1272574607441,Active
60,MIDAS site at M1/3702B priority 1 on link 126024001; GPS Ref: 448097;313165; Southbound,M1/3702B,-1.28945574211469,52.7140329405801,Active
61,MIDAS site at M4/3549A priority 1 on link 123001901; GPS Ref: 389782;179198; Westbound,M4/3549A,-2.14862738076441,51.511613746296,Active
62,MIDAS site at M1/3130A priority 8 on link 123016901(Non-monitoring MIDAS); GPS Ref: 464284;261243; Northbound,M1/3130A,-1.05986463779637,52.2456395620733,Inactive
63,MIDAS site at M4/3507A priority 1 on link 102004601; GPS Ref: 393995;179491; Westbound,M4/3507A,-2.08792352225887,51.514309957611,Active
64,MIDAS site at M62/1324A priority 1 on link 199086001; GPS Ref: 365923;393146; Eastbound,M62/1324A,-2.51438656199428,53.4340026856307,Inactive
65,MIDAS site at M11/6904A priority 1 on link 200130235; GPS Ref: 541607;261047; Northbound,M11/6904A,0.07199789011987,52.2294340480105,Active
66,MIDAS site at M1/3563B priority 1 on link 107032803; GPS Ref: 454289;301774; Southbound,M1/3563B,-1.19967870958693,52.6110568267452,Active
67,MIDAS site at M1/3776A priority 4 on link 107031701; GPS Ref: 448618;320430; Northbound,M1/3776A,-1.28067137873216,52.7792908506016,Active
68,MIDAS Site at M20/6568A1 priority 1 on link 104029103; GPS Ref: 575522;158555; Eastbound,M20/6568A1,0.516361527817416,51.2990602918532,Active
69,MIDAS site at M1/2623B priority 1 on link 200113964; GPS Ref: 502135;229759; Southbound,M1/2623B,-0.515061150712143,51.956956888434,Active
70,MIDAS site at M6/6998A priority 1 on link 110002601; GPS Ref: 366305;386441; Northbound,M6/6998A,-2.50791789128287,53.3737612466491,Active
71,MIDAS site at M1/2926A priority 3 on link 108019502; GPS Ref: 480229;249190; Northbound,M1/2926A,-0.829220735020941,52.135208267394,Inactive
72,MIDAS site at M4/3332L priority 1 on link 102001801; GPS Ref: 409934;183135; Eastbound,M4/3332L,-1.85812655515843,51.5470238397031,Active
73,MIDAS site at M25/5235K priority 1 on link 108024201; GPS Ref: 512430;203156; Clockwise,M25/5235K,-0.373941587890524,51.7158794591327,Active
74,MIDAS site at M1/4065B priority 1 on link 107033101; GPS Ref: 450821;346881; Southbound,M1/4065B,-1.24389459422563,53.0168438863603,Active
75,MIDAS site at M25/4447B priority 3 on link 199121901; GPS Ref: 532106;152830; Anti-clockwise,M25/4447B,-0.10809785412041201,51.2593320812814,Active
76,MIDAS site at M4/2502A priority 1 on link 105007301; GPS Ref: 485180;174964; Westbound,M4/2502A,-0.77511595906634,51.4672467236443,Inactive
77,MIDAS site at M1/4846L priority 1 on link 116009901; GPS Ref: 429776;412210; Southbound,M1/4846L,-1.55147913379074,53.6056266464746,Active
78,MIDAS site at A2/8420A priority 1 on link 200008841; GPS Ref: 568477;169674; Eastbound,A2/8420A,0.420665735650981,51.401077667589,Active
79,MIDAS site at A1M/9470A priority 1 on link 108009401; GPS Ref: 523534;222509; Northbound,A1M/9470A,-0.206402323058378,51.8874661652699,Active
80,MIDAS site at M25/4409B priority 1 on link 123011501; GPS Ref: 535888;152808; Anti-clockwise,M25/4409B,-0.053937862271571,51.2582460746526,Active
81,MIDAS site at M6/7313B priority 1 on link 117007102; GPS Ref: 354533;412534; Southbound,M6/7313B,-2.68863437858823,53.6073952004655,Active
82,MIDAS site at M62/2324A priority 1 on link 200017490; GPS Ref: 447037;424070; Eastbound,M62/2324A,-1.28884504984965,53.7109578839438,Active
83,MIDAS site at M6/7096B priority 1 on link 117015301; GPS Ref: 361194;394001; Southbound,M6/7096B,-2.58566816043069,53.4413595557882,Active
84,MIDAS site at M40/9061K priority 1 on link 200034725; GPS Ref: 454748;227915; Northbound,M40/9061K,-1.20485835708065,51.947054713298,Active
85,MIDAS site at M56/8114J priority 1 on link 115007401; GPS Ref: 381672;387320; Westbound,M56/8114J,-2.27699892832543,53.3824218923632,Active
86,MIDAS site at M1/3966A priority 1 on link 123013701; GPS Ref: 448119;338259; Northbound,M1/3966A,-1.28544465160147,52.9395949413968,Active
87,MIDAS site at M1/4017B priority 1 on link 123013901; GPS Ref: 450476;342713; Southbound,M1/4017B,-1.24968594385032,52.9794139703691,Active
88,MIDAS site at A14/2060J priority 1 on link 199136301; GPS Ref: 627790;237894; Eastbound,A14/2060J,1.31654142435839,51.9927623053437,Active
89,MIDAS site at M6/6772K priority 1 on link 110005302; GPS Ref: 374168;367304; Northbound,M6/6772K,-2.38817178440203,53.2021927089163,Inactive
90,MIDAS site at M4/3869B priority 1 on link 102019301; GPS Ref: 361726;183912; Eastbound,M4/3869B,-2.55341652947819,51.5527877134557,Active
91,MIDAS site at M40/8789A priority 1 on link 199011101; GPS Ref: 462610;204895; Northbound,M40/8789A,-1.09464653191839,51.7392774926581,Active
92,MIDAS site at M3/2161B priority 1 on link 103008401; GPS Ref: 443618;118920; Eastbound,M3/2161B,-1.38019665524034,50.9680462028602,Inactive
93,MIDAS site at A1M/9541A priority 1 on link 200013589; GPS Ref: 443428;435666; Northbound,A1M/9541A,-1.34189279281093,53.8154869806696,Active
94,MIDAS site at M25/4090K priority 1 on link 200109283; GPS Ref: 555661;171840; Clockwise,M25/4090K,0.2375293155224,51.424197681772704,Active
95,MIDAS site at A1M/2228B priority 1 on link 199047701; GPS Ref: 515756;291813; Southbound,A1M/2228B,-0.295709619220688,52.5119428099963,Active
96,MIDAS site at A1M/9379B priority 1 on link 200014145; GPS Ref: 448072;421977; Southbound,A1M/9379B,-1.27348778862802,53.6920534408536,Active
97,MIDAS site at M25/4358A priority 1 on link 199121802; GPS Ref: 540570;153968; Clockwise,M25/4358A,0.01357216902312,51.2675362903577,Active
98,MIDAS site at M4/3434A priority 1 on link 102004601; GPS Ref: 400706;182090; Westbound,M4/3434A,-1.99120709144118,51.537712146872,Active
99,MIDAS site at M1/2501A priority 1 on link 108023301; GPS Ref: 507983;219359; Northbound,M1/2501A,-0.433247673382439,51.8623826551344,Active
100,MIDAS site at M60/9462B priority 1 on link 115028601; GPS Ref: 392195;398032; Anti-clockwise,M60/9462B,-2.11907034674187,53.4789693723244,Active
